longitude,latitude,newPlot
123.4159698,41.80778122,0
123.4396362,41.80488968,1
123.4312515,41.80846024,2
123.4372406,41.7996788,3
123.4344177,41.81195831,4
123.4121704,41.8152504,5
123.411911,41.81045914,6
123.4421463,41.8010788,7
123.4359436,41.80569839,8
123.4290314,41.81130981,9
123.4128571,41.80469894,10
123.4320221,41.80392075,11
123.4262009,41.81328964,12
123.4166718,41.8102417,13
123.4003677,41.79272079,14
123.4503174,41.78078079,15
123.4378204,41.75955963,16
123.4326324,41.76139069,17
123.4354477,41.75598145,18
123.3458862,41.53760147,19
123.3352509,41.53427887,20
123.3370209,41.51704025,21
123.3214417,41.69348907,22
123.4439316,41.78248978,23
123.4499664,41.78374863,24
123.4061203,41.79851151,25
123.4430695,41.77388,26
123.319313,41.70632172,27
123.3497086,41.71292114,28
123.3864212,41.516819,29
123.3683319,41.71891022,30
123.3478012,41.55226898,31
123.3301086,41.53659821,32
123.45047,41.77920914,33
123.3372116,41.52492142,34
123.3122177,41.56336975,35
123.3982468,41.78939819,36
123.4412384,41.76774979,37
123.4528885,41.70713043,38
123.33004,41.57017899,39
123.4351273,41.69882965,40
123.3740692,41.51490021,41
123.3819504,41.79463959,42
123.4087296,41.80886078,43
123.4078903,41.79399109,44
123.40905,41.79639816,45
123.4118195,41.79265976,46
123.4088821,41.7910614,47
123.4084473,41.79283905,48
123.4161072,41.78958893,49
123.3872986,41.80065155,50
123.4151917,41.79349136,51
123.409462,41.7925415,52
123.3762817,41.8028717,53
123.3704987,41.8051796,54
123.4128494,41.81581116,55
123.4119873,41.8078804,56
123.4113693,41.81541061,57
123.4136581,41.81689835,58
123.4131699,41.81354904,59
123.4008865,41.80546951,60
123.3991394,41.82085037,61
123.4143829,41.81169891,62
123.4050827,41.81103134,63
123.4087067,41.80638123,64
123.4168396,41.82715988,65
123.4131699,41.82835007,66
123.4109268,41.82249069,67
123.4132919,41.82429123,68
123.4301834,41.82373047,69
123.4287491,41.82312012,70
123.4427795,41.79285812,71
