newPlot,cluster,usedTime,distance,speed
661,3,35.89,0.0,0.0
661,3,99.267,0.0,0.0
661,3,146.81,0.0,0.0
513,3,41.328,411.0759294475629,9.946668830999876
513,3,17.422,0.0,0.0
661,3,3.562,411.0759294475629,115.40593190554826
661,3,142.595,0.0,0.0
661,3,1.567,0.0,0.0
661,3,106.624,0.0,0.0
661,3,127.984,0.0,0.0
661,3,88.337,0.0,0.0
62,3,57.282,605.1688538352242,10.564729824992568
662,3,545.358,220.95705751606187,0.4051596520378575
662,3,356.57,0.0,0.0
662,3,174.27,0.0,0.0
662,3,385.658,0.0,0.0
59,3,573.786,357.8524628088363,0.6236688640169616
661,3,26.107,518.5438137206387,19.862252028982216
59,3,54.408,518.5438137206387,9.530653832536368
59,3,1.39,0.0,0.0
661,3,23.006,518.5438137206387,22.539503334809993
661,3,71.753,0.0,0.0
662,3,1672.919,485.9607241374127,0.29048670266606613
662,3,1155.452,0.0,0.0
662,3,1656.556,0.0,0.0
661,4,4960.498,485.9607241374127,0.09796611633295946
5,4,18.361,512.2306925550758,27.89775570802657
59,4,47.937,206.65963450825203,4.311067328123412
513,4,3.075,804.1254421029413,261.5042088139646
332,4,22.01,910.8436374761853,41.38317298846821
661,4,12.899,510.53212637190757,39.5792019824721
661,4,72.304,0.0,0.0
661,4,534.664,0.0,0.0
62,4,80.7,605.1688538352242,7.498994471316285
62,4,450.532,0.0,0.0
661,4,167.047,605.1688538352242,3.622746016601461
661,4,433.751,0.0,0.0
661,4,883.808,0.0,0.0
5,4,68.565,512.2306925550758,7.470731314155558
661,4,275.099,512.2306925550758,1.8619867486071409
661,4,1431.118,0.0,0.0
13,4,431.632,690.7488447087289,1.6003188936611024
13,4,200.501,0.0,0.0
489,4,1267.145,525.5227589269991,0.4147297735673495
89,4,197.451,257.4219968965148,1.3037259719956589
85,5,1233.67,2125.175735231588,1.7226452254100268
516,5,103.31,125.98530705084198,1.219488017141051
516,5,42.212,0.0,0.0
516,5,122.968,0.0,0.0
516,5,37.802,0.0,0.0
516,5,45.395,0.0,0.0
516,5,74.613,0.0,0.0
565,5,445.46,440.9281390423471,0.9898265591576059
516,5,600.506,440.9281390423471,0.7342610049563986
516,5,84.26,0.0,0.0
68,5,578.651,300.3248782527057,0.5190086567770654
565,5,83.135,703.1462767882904,8.45788508796885
68,5,751.756,703.1462767882904,0.935338430006931
68,5,1411.483,0.0,0.0
516,5,658.467,300.3248782527057,0.45609708345703837
516,5,19.304,0.0,0.0
87,5,0.06,244.67627322625313,4077.937887104219
87,5,3.648,0.0,0.0
516,5,15.987,244.67627322625313,15.304702147135368
87,5,32.555,244.67627322625313,7.515781699470224
87,5,5.297,0.0,0.0
516,5,34.752,244.67627322625313,7.0406386172379465
68,5,4.329,300.3248782527057,69.37511625149126
68,5,213.424,0.0,0.0
68,5,4.468,0.0,0.0
68,5,2.319,0.0,0.0
68,5,15.045,0.0,0.0
516,5,48.639,300.3248782527057,6.174569342558557
565,5,108.477,440.9281390423471,4.064715460810559
85,5,166.128,530.6802753774325,3.1944059723672864
516,5,88.647,125.98530705084198,1.4212021506744952
68,5,0.746,300.3248782527057,402.58026575429716
516,5,37.128,300.3248782527057,8.08890536125581
68,5,131.756,300.3248782527057,2.279401911508437
68,5,168.973,0.0,0.0
565,5,113.69,703.1462767882904,6.184768025229047
565,5,11.129,0.0,0.0
516,5,1.342,440.9281390423471,328.5604612834181
565,5,139.605,440.9281390423471,3.1583979015246384
68,5,68.653,703.1462767882904,10.242032784995416
85,5,10.792,320.91465781192,29.736347091541884
85,5,6.523,0.0,0.0
516,5,34.513,125.98530705084198,3.6503725277675656
565,5,57.758,440.9281390423471,7.634061758411771
516,5,271.482,440.9281390423471,1.6241523896330035
516,5,40.249,0.0,0.0
516,5,260.494,0.0,0.0
516,5,121.936,0.0,0.0
516,5,17.826,0.0,0.0
85,5,273.836,125.98530705084198,0.4600757645117588
565,5,143.122,530.6802753774325,3.707887504209223
317,5,275.823,599.8030060376718,2.1745938737439294
13,6,402.912,1040.987817725991,2.5836604959047906
13,6,128.693,0.0,0.0
13,6,63.032,0.0,0.0
13,6,166.285,0.0,0.0
13,6,367.42,0.0,0.0
13,6,848.22,0.0,0.0
13,6,864.49,0.0,0.0
13,6,481.689,0.0,0.0
13,7,2686.0,0.0,0.0
13,7,806.518,0.0,0.0
13,7,140.004,0.0,0.0
13,7,259.614,0.0,0.0
13,7,281.428,0.0,0.0
13,7,488.96,0.0,0.0
13,7,1115.994,0.0,0.0
13,7,129.012,0.0,0.0
13,7,760.463,0.0,0.0
13,7,9.273,0.0,0.0
13,8,2073.61,0.0,0.0
13,8,600.31,0.0,0.0
13,8,1210.86,0.0,0.0
13,8,60.209,0.0,0.0
13,8,29.471,0.0,0.0
13,8,528.557,0.0,0.0
13,8,580.317,0.0,0.0
349,8,1527.294,906.9136794496047,0.5938042573660374
349,8,521.347,0.0,0.0
207,8,346.474,288.0445598418003,0.8313598129781754
349,8,612.18,288.0445598418003,0.4705226564765271
349,8,690.573,0.0,0.0
349,8,15.88,0.0,0.0
349,8,739.54,0.0,0.0
349,8,174.003,0.0,0.0
0,-1,144.407,0.0,0.0
0,1,2046.985,0.0,0.0
0,1,116.549,0.0,0.0
0,1,340.409,0.0,0.0
6,1,42.416,449.6155958930534,10.60014135922891
0,-1,2305.181,449.6155958930534,0.19504568009759468
0,-1,1260.177,0.0,0.0
0,-1,9363.663,0.0,0.0
0,-1,18.97,0.0,0.0
0,-1,3194.355,0.0,0.0
0,-1,4914.346,0.0,0.0
0,-1,1390.713,0.0,0.0
0,-1,1971.31,0.0,0.0
13,-1,180.496,279.88650664219045,1.550652128812774
11,2,690.863,1454.786264010394,2.1057521737455818
3,2,155.92,640.4875267861046,4.1077958362372025
7,2,69.92,435.8180147130726,6.233095176102297
3,2,25.801,435.8180147130726,16.891516402971693
1,2,339.196,612.9014773629559,1.80692424840787
1,2,104.153,0.0,0.0
1,2,183.746,0.0,0.0
1,2,101.769,0.0,0.0
1,2,617.787,0.0,0.0
1,2,234.698,0.0,0.0
1,2,48.912,0.0,0.0
1,2,484.317,0.0,0.0
1,2,187.879,0.0,0.0
1,2,316.991,0.0,0.0
1,2,767.272,0.0,0.0
1,2,13.593,0.0,0.0
1,2,450.057,0.0,0.0
1,2,1639.911,0.0,0.0
1,2,158.412,0.0,0.0
1,2,414.48,0.0,0.0
8,2,629.505,319.2954142426368,0.5072166452095485
2,2,476.711,495.9405859621239,1.0403380370122022
2,-1,7769.922,0.0,0.0
2,-1,5467.571,0.0,0.0
2,-1,1184.674,0.0,0.0
2,-1,6945.802,0.0,0.0
2,3,11164.918,0.0,0.0
4,3,1670.388,469.5451709803444,0.2810994637056447
4,3,792.478,0.0,0.0
4,3,1207.65,0.0,0.0
4,3,1229.139,0.0,0.0
4,3,243.972,0.0,0.0
12,3,493.261,697.5345120198556,1.414128649984198
9,3,58.514,321.9591790567963,5.502258930457605
9,3,109.085,0.0,0.0
9,3,244.747,0.0,0.0
5,4,336.748,1465.7989723703804,4.3528067646144315
5,4,114.178,0.0,0.0
0,4,1208.815,888.805519438841,0.7352700946289059
0,4,37.912,0.0,0.0
0,5,3093.112,0.0,0.0
0,5,797.678,0.0,0.0
6,5,24.572,449.6155958930534,18.297883603005594
6,5,507.552,0.0,0.0
0,6,2157.568,449.6155958930534,0.20839000017290457
0,6,324.413,0.0,0.0
0,6,194.627,0.0,0.0
0,6,983.351,0.0,0.0
0,6,81.592,0.0,0.0
0,6,260.146,0.0,0.0
0,6,47.931,0.0,0.0
0,6,512.153,0.0,0.0
0,6,16.732,0.0,0.0
10,6,918.405,429.29981033382916,0.4674406284088492
116,-1,427.581,0.0,0.0
116,-1,3594.882,0.0,0.0
116,-1,1187.529,0.0,0.0
116,-1,3506.875,0.0,0.0
116,-1,2345.607,0.0,0.0
116,-1,2346.868,0.0,0.0
116,1,3531.524,0.0,0.0
116,1,1041.632,0.0,0.0
116,1,891.16,0.0,0.0
116,1,413.476,0.0,0.0
116,1,619.105,0.0,0.0
116,1,13.759,0.0,0.0
116,1,553.996,0.0,0.0
116,1,597.784,0.0,0.0
116,1,1149.12,0.0,0.0
116,-1,5114.205,0.0,0.0
116,-1,598.889,0.0,0.0
116,-1,2334.87,0.0,0.0
116,2,3340.016,0.0,0.0
116,2,66.51,0.0,0.0
116,2,1092.676,0.0,0.0
116,-1,2278.409,0.0,0.0
116,-1,1383.533,0.0,0.0
116,-1,3387.661,0.0,0.0
116,-1,2259.83,0.0,0.0
134,-1,3739.077,492.9507394426517,0.13183754692472277
116,-1,67.207,492.9507394426517,7.3348124368391945
116,3,2289.715,0.0,0.0
116,3,703.947,0.0,0.0
116,3,102.047,0.0,0.0
117,-1,422.397,2927.7768519556603,6.931339123989186
127,-1,234.183,4377.0002895126945,18.690512503096702
120,-1,250.612,1972.4959638581831,7.870716341827938
120,-1,3.46,0.0,0.0
126,-1,242.625,1673.21144848335,6.8962862379530145
118,-1,196.764,1585.8769586641336,8.059792231628416
135,-1,129.447,2401.169317478549,18.549439673986644
121,-1,235.075,4103.875273449378,17.457727420820497
129,-1,2120.429,5415.797580140458,2.5541046553034588
129,-1,64.921,0.0,0.0
133,-1,8468.497,525.548609422986,0.062059254366269016
122,-1,85.01,1214.8152714588682,14.290263162673428
115,4,564.958,4682.313868832858,8.287897275253838
115,4,119.417,0.0,0.0
115,4,226.547,0.0,0.0
115,4,734.783,0.0,0.0
115,4,1470.575,0.0,0.0
115,4,817.239,0.0,0.0
115,4,1459.587,0.0,0.0
115,4,30.707,0.0,0.0
115,4,1182.63,0.0,0.0
115,4,17.18,0.0,0.0
115,4,1692.365,0.0,0.0
115,4,206.821,0.0,0.0
114,4,196.289,368.32715411128686,1.8764533627013582
128,4,20.262,651.4362269634039,32.150637990494715
124,4,173.074,265.2273415174911,1.5324505212654187
56,5,1755.844,8430.996076353647,4.801677185646132
43,5,688.366,291.44334001906714,0.4233842752533785
43,5,578.835,0.0,0.0
43,5,288.931,0.0,0.0
43,5,909.996,0.0,0.0
43,5,970.24,0.0,0.0
43,5,100.307,0.0,0.0
43,6,2174.895,0.0,0.0
43,6,688.564,0.0,0.0
43,6,244.377,0.0,0.0
43,6,197.622,0.0,0.0
43,6,150.507,0.0,0.0
43,6,34.593,0.0,0.0
43,6,998.902,0.0,0.0
43,6,519.155,0.0,0.0
43,6,76.963,0.0,0.0
43,6,72.112,0.0,0.0
43,6,349.388,0.0,0.0
131,6,872.445,368.4816736438282,0.42235518989028326
130,-1,472.055,2045.3428013173084,4.332848505613347
119,-1,144.174,1243.984220853476,8.62835338447623
123,-1,239.35,1621.1600681699515,6.773177640150205
125,-1,530.466,5871.819421307734,11.069172051192224
132,-1,422.976,4812.425362703243,11.377537644460308
6,-1,7287.046,0.0,0.0
6,1,8218.785,0.0,0.0
6,1,32.429,0.0,0.0
676,1,301.695,514.2544909613572,1.704550923818284
435,1,173.489,742.2617288792477,4.278436839680024
51,2,256.337,1306.2004682401441,5.0956376498131135
46,2,39.871,294.7267183927654,7.392007182984259
288,2,52.625,552.1620896339805,10.492391251952123
441,2,284.014,603.818504866134,2.1260166923677497
441,2,13.808,0.0,0.0
665,2,361.354,372.43868621266967,1.030675421367052
665,2,250.006,0.0,0.0
665,2,417.991,0.0,0.0
441,2,479.633,372.43868621266967,0.7765076344052008
666,3,632.724,1278.142320996502,2.020062967417866
435,3,173.675,743.7465471984997,4.282404187122497
253,3,149.951,591.8154022694737,3.9467252787208733
10,3,22.031,243.62650487706938,11.058349819666352
131,3,97.343,223.27677975949345,2.293711717940617
6,3,563.697,518.4599678241145,0.9197493827785398
6,3,354.027,0.0,0.0
6,3,39.715,0.0,0.0
56,3,1631.687,286.98830805279397,0.17588441168728683
131,3,340.767,246.30221262116157,0.7227877482888941
131,3,291.571,0.0,0.0
667,3,423.129,83.23425957449739,0.1967113092567453
667,3,23.986,0.0,0.0
667,3,112.003,0.0,0.0
667,3,109.999,0.0,0.0
131,3,842.212,83.23425957449739,0.0988281567758443
131,3,1412.573,0.0,0.0
43,3,184.57,368.4816736438282,1.996433188729632
43,3,196.819,0.0,0.0
131,3,234.708,368.4816736438282,1.5699578780605186
131,3,77.537,0.0,0.0
131,3,0.027,0.0,0.0
131,3,357.08,0.0,0.0
131,-1,2957.92,0.0,0.0
112,4,241.046,1120.0388288712193,4.646577121674781
112,4,12.783,0.0,0.0
668,4,136.428,974.5028073132319,7.142982432588852
674,-1,746.844,4217.42381400817,5.646994304042303
679,5,369.952,2895.5864003942247,7.8269245750644
669,5,363.856,522.8498764465556,1.4369692308126172
678,5,315.355,608.9099202880312,1.930871304682124
669,5,37.175,608.9099202880312,16.379554009092974
669,5,403.452,0.0,0.0
678,5,245.826,608.9099202880312,2.476995599684457
680,-1,824.512,1442.1069403913232,1.7490429980295292
670,6,806.775,2152.078848522594,2.6675081014193474
670,6,65.417,0.0,0.0
670,6,50.206,0.0,0.0
671,6,1432.143,149.4127853281984,0.1043281189994284
672,7,1604.63,1435.4888932866215,0.894591833186854
681,7,67.613,43.51741355819552,0.643624947246765
672,7,772.411,43.51741355819552,0.056339712352873696
672,7,954.274,0.0,0.0
673,-1,673.023,1952.5416971665143,2.9011515166146093
673,-1,44.079,0.0,0.0
6,8,1643.274,4018.5627888528393,2.4454611883671498
0,8,315.469,449.6155958930534,1.425229090316492
6,8,60.547,449.6155958930534,7.425893865807611
6,8,23.087,0.0,0.0
10,8,64.872,645.6858535174657,9.953228719901741
6,-1,7031.057,645.6858535174657,0.09183339766943516
1044,1,3182.872,0.0,0.0
1044,1,212.474,0.0,0.0
1044,1,495.131,0.0,0.0
1044,1,950.098,0.0,0.0
1044,1,547.532,0.0,0.0
1046,1,5.196,146.9148136966653,28.274598478957913
653,1,137.755,369.13462934989985,2.679645960944429
1047,1,274.604,440.41904945205357,1.6038333361934043
395,2,182.486,1003.528471133645,5.499208000250129
5,2,437.027,761.2382633275633,1.7418563688915407
0,2,587.547,888.805519438841,1.5127394394641467
0,2,90.002,0.0,0.0
62,3,4463.745,455.34022892107475,0.102008566555902
13,3,19.362,249.6837738011381,12.895556956984718
0,3,20.76,279.88650664219045,13.4820089904716
0,3,58.916,0.0,0.0
0,-1,4750.101,0.0,0.0
0,-1,102.481,0.0,0.0
0,4,3221.664,0.0,0.0
0,4,1146.879,0.0,0.0
0,4,171.551,0.0,0.0
0,4,44.575,0.0,0.0
0,4,59.019,0.0,0.0
0,4,597.875,0.0,0.0
0,4,299.107,0.0,0.0
0,4,118.069,0.0,0.0
0,4,705.31,0.0,0.0
0,4,760.32,0.0,0.0
0,4,42.312,0.0,0.0
0,4,914.023,0.0,0.0
0,4,1571.736,0.0,0.0
0,4,205.554,0.0,0.0
0,4,2.369,0.0,0.0
0,-1,2885.633,0.0,0.0
0,-1,1665.355,0.0,0.0
0,5,2009.651,0.0,0.0
0,5,546.998,0.0,0.0
0,5,39.248,0.0,0.0
0,6,1943.012,0.0,0.0
0,6,135.642,0.0,0.0
0,6,982.906,0.0,0.0
0,6,687.577,0.0,0.0
0,7,3956.451,0.0,0.0
0,7,1459.973,0.0,0.0
0,7,662.29,0.0,0.0
0,7,668.151,0.0,0.0
0,7,281.616,0.0,0.0
0,7,691.203,0.0,0.0
0,7,965.487,0.0,0.0
1048,-1,7958.582,1665.694419274234,0.2092953768993313
1048,-1,2.618,0.0,0.0
58,1,37.804,0.0,0.0
58,1,44.075,0.0,0.0
58,1,143.735,0.0,0.0
58,1,17.592,0.0,0.0
58,1,49.878,0.0,0.0
58,1,562.391,0.0,0.0
58,1,68.657,0.0,0.0
58,1,291.838,0.0,0.0
58,1,129.305,0.0,0.0
58,1,151.839,0.0,0.0
58,1,70.883,0.0,0.0
58,1,491.448,0.0,0.0
58,1,212.555,0.0,0.0
58,1,139.27,0.0,0.0
58,1,926.579,0.0,0.0
58,1,329.306,0.0,0.0
58,1,295.66,0.0,0.0
58,1,80.675,0.0,0.0
58,1,97.609,0.0,0.0
58,1,319.702,0.0,0.0
58,1,49.884,0.0,0.0
