longitude,latitude,plot
123.41596979999998,41.80778122,0
123.4396362,41.80488968,1
123.43125149999999,41.80846024,2
123.4372406,41.799678799999995,3
123.43441770000001,41.81195831,4
123.43441770000001,41.81195831,5
123.41217040000001,41.8152504,6
123.41596979999998,41.80778122,7
123.411911,41.81045914,8
123.411911,41.81045914,9
123.41596979999998,41.80778122,10
123.41596979999998,41.80778122,11
123.41596979999998,41.80778122,12
123.4421463,41.80107879999999,13
123.4359436,41.80569839,14
123.4290314,41.81130981,15
123.4128571,41.80469894,16
123.43125149999999,41.80846024,17
123.43202209999998,41.80392075,18
123.4396362,41.80488968,19
123.43441770000001,41.81195831,20
123.4290314,41.81130981,21
123.42620090000001,41.81328964,22
123.41667179999999,41.8102417,23
123.40036770000002,41.79272079,24
123.45031740000002,41.78078079,25
123.43782040000002,41.75955963,26
123.4326324,41.76139069,27
123.4354477,41.75598145,28
123.3458862,41.53760147,29
123.3352509,41.53427887,30
123.3370209,41.51704025,31
123.3370209,41.51704025,32
123.32144170000001,41.69348907,33
123.44393159999998,41.78248978,34
123.44996640000001,41.78374863,35
123.4061203,41.79851151,36
123.44306950000001,41.77388,37
123.45031740000002,41.78078079,38
123.319313,41.70632172,39
123.34970859999999,41.71292114,40
123.3864212,41.516819,41
123.36833190000002,41.71891022,42
123.45031740000002,41.78078079,43
123.3478012,41.55226898,44
123.33010859999999,41.53659821,45
123.44996640000001,41.78374863,46
123.45047,41.77920914,47
123.33721159999999,41.52492142,48
123.31221770000002,41.56336975,49
123.39824679999998,41.78939819,50
123.4412384,41.76774979,51
123.4528885,41.70713043,52
123.33004,41.57017899,53
123.4351273,41.69882965,54
123.37406920000001,41.51490021,55
123.33010859999999,41.53659821,56
123.3819504,41.79463959,57
123.40872959999999,41.80886078,58
123.40789029999999,41.79399109,59
123.40905,41.79639816,60
123.41181950000001,41.79265976,61
123.4088821,41.7910614,62
123.4088821,41.7910614,63
123.40872959999999,41.80886078,64
123.4088821,41.7910614,65
123.4084473,41.79283905,66
123.40905,41.79639816,67
123.4088821,41.7910614,68
123.4161072,41.78958893,69
123.3819504,41.79463959,70
123.38729860000001,41.80065155,71
123.41519170000001,41.79349136,72
123.41519170000001,41.79349136,73
123.409462,41.7925415,74
123.4088821,41.7910614,75
123.3762817,41.8028717,76
123.4161072,41.78958893,77
123.41181950000001,41.79265976,78
123.41181950000001,41.79265976,79
123.40789029999999,41.79399109,80
123.40905,41.79639816,81
123.4088821,41.7910614,82
123.4161072,41.78958893,83
123.41181950000001,41.79265976,84
123.3704987,41.8051796,85
123.4088821,41.7910614,86
123.40872959999999,41.80886078,87
123.4128494,41.81581116,88
123.41198729999999,41.8078804,89
123.4113693,41.81541061,90
123.4136581,41.81689835,91
123.4131699,41.81354904,92
123.4008865,41.80546951,93
123.39913940000001,41.82085037,94
123.41438290000002,41.81169891,95
123.40508270000001,41.81103134,96
123.40870670000001,41.80638123,97
123.41438290000002,41.81169891,98
123.4136581,41.81689835,99
123.40872959999999,41.80886078,100
123.41683959999999,41.82715988,101
123.4131699,41.82835007,102
